N,Triton,Torch
1024.000000,85.333330,85.333330
1536.000000,87.771426,76.322980
2048.000000,88.562164,73.470854
2560.000000,88.658009,67.147542
3072.000000,87.459079,64.503939
3584.000000,85.588062,62.466231
4096.000000,81.512437,62.178369
4608.000000,87.562944,61.235882
5120.000000,85.870022,60.952381
5632.000000,84.059700,60.886487
6144.000000,82.193978,60.756490
6656.000000,78.885924,60.716079
7168.000000,75.851852,60.745761
7680.000000,73.405015,60.532017
8192.000000,69.645058,60.737723
8704.000000,32.417131,21.055942
9216.000000,86.842591,60.631582
9728.000000,81.662121,60.563424
10240.000000,76.776009,60.636564
10752.000000,76.120355,60.446943
11264.000000,75.660790,60.356331
11776.000000,73.917612,60.312419
12288.000000,74.585735,60.235295
12800.000000,24.800194,60.270747
13312.000000,72.446258,59.997746
13824.000000,71.488040,60.137030
14336.000000,70.577229,60.014652
14848.000000,69.100638,60.113363
15360.000000,69.325811,59.795619
15872.000000,66.584165,60.064332
